시군명,충전소명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,운영기관명,충전기타입명
성남시,중앙인더스피아제3공장,경기도 성남시 중원구 상대원동 144-1번지 2층 EPS실 옆,경기도 성남시 중원구 사기막골로105번길 27,13201,37.4412173177,127.1731157691,케이티,AC완속
성남시,분당서울대학교병원 헬스케어혁신파크,경기도 성남시 분당구 정자동 217번지 헬스케어 혁신파크 B1층 B2기둥 옆,경기도 성남시 분당구 돌마로 172,13605,37.3543040744,127.1209761352,케이티,AC완속
성남시,가천대역쌍용스윗닷홈,경기도 성남시 수정구 태평동 7342번지 경원대역쌍용스윗닷홈,,13306,37.4483490775,127.1280317279,케이티,AC완속
성남시,청솔마을 화인아파트,경기도 성남시 분당구 금곡동 180번지 청솔마을화인아파트 정문출입구 30M 전방 중앙지하주차장 B1층 왼쪽 A16 기둥뒤,,13614,37.3540126865,127.1062761026,케이티,AC완속
성남시,호반메트로큐브오피스텔,경기도 성남시 분당구 삼평동 647번지,경기도 성남시 분당구 대왕판교로606번길 31,13524,37.3967437229,127.1106961110,케이티,AC완속
성남시,성남시 상대원2동 주민센터,경기도 성남시 중원구 상대원동 3159번지 주차장,경기도 성남시 중원구 희망로 371,13394,37.4389221005,127.1583398126,차지비,AC완속
성남시,성남시 금광1동 주민센터,경기도 성남시 중원구 금광동 1348번지 주차장,경기도 성남시 중원구 광명로 328,13182,37.4451082700,127.1624380693,차지비,AC완속
성남시,성남시 정자동 주민센터,경기도 성남시 분당구 정자동 147번지 주차장,경기도 성남시 분당구 황새울로18번길 14,13612,37.3614484868,127.1115447735,차지비,AC완속
성남시,성남시 동서울대학교,경기도 성남시 수정구 복정동 산42번지 주차장,경기도 성남시 수정구 복정로 76,13117,37.4602788301,127.1295104544,차지비,AC완속
성남시,성남시 수내1동주민센터,경기도 성남시 분당구 수내동 30번지 주차장,경기도 성남시 분당구 내정로173번길 21,13597,37.3756298477,127.1178870474,차지비,AC완속
성남시,성남시 상대원1동 주민센터,경기도 성남시 중원구 상대원동 1451번지 주차장,경기도 성남시 중원구 둔촌대로 425,13228,37.4332067072,127.1643904915,차지비,AC완속
성남시,성남시 중원구보건소,경기도 성남시 중원구 상대원동 269-10번지 지하1층 주차장,경기도 성남시 중원구 금상로 137,13200,37.4421656038,127.1705341666,차지비,AC완속
성남시,단대주유소,경기도 성남시 수정구 산성동 2172번지 단대주유소,경기도 성남시 수정구 희망로 530,13130,37.4508457994,127.1516715625,SK에너지,DC차데모+DC콤보
성남시,분당경찰서,경기도 성남시 분당구 정자동 160번지 분당구 정자동,경기도 성남시 분당구 정자일로 165,13557,37.3652682739,127.1054719502,에스트래픽,DC차데모+AC3상+DC콤보
성남시,성남중원경찰서,경기도 성남시 중원구 상대원동 269-1번지 중원구 상대원동,경기도 성남시 중원구 금빛로2번길 10,13200,37.4426609108,127.1703737277,에스트래픽,DC차데모+AC3상+DC콤보
